City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,iquique,-20.2208,-70.1431,300.17,76,71,2.73,CL,1675632650
84,omboue,-1.5746,9.2618,298.58,86,78,1.49,GA,1675632788
85,atuona,-9.8,-139.0333,298.83,81,39,8.47,PF,1675632788
86,klaksvik,62.2266,-6.589,281.66,92,100,15.66,FO,1675632789
87,georgetown,5.4112,100.3354,298.12,99,20,0.0,MY,1675632639
88,balatonfured,46.9619,17.8719,270.57,57,4,3.58,HU,1675632791
89,kirakira,-10.4544,161.9205,299.0,91,100,9.19,SB,1675632792
90,provideniya,64.3833,-173.3,258.35,72,100,6.0,RU,1675632793
91,merauke,-8.4667,140.3333,299.1,87,100,3.22,ID,1675632794
92,cayenne,4.9333,-52.3333,295.17,100,75,1.54,GF,1675632611
93,vostok,46.4856,135.8833,250.26,99,98,2.04,RU,1675632796
94,maniitsoq,65.4167,-52.9,256.83,92,100,4.5,GL,1675632521
95,hays,30.0502,-98.0336,296.53,53,0,1.79,US,1675632798
96,sao filipe,14.8961,-24.4956,294.66,62,93,7.36,CV,1675632501
97,kruisfontein,-34.0033,24.7314,296.97,85,90,3.35,ZA,1675632800
98,batemans bay,-35.7167,150.1833,293.76,65,61,1.43,AU,1675632801
99,barrow,71.2906,-156.7887,245.16,76,0,2.06,US,1675632804
100,cape town,-33.9258,18.4232,295.38,77,0,9.26,ZA,1675632807
101,sale,34.0389,-6.8166,285.73,100,47,2.06,MA,1675632808
102,pictou,45.6834,-62.7153,273.4,93,100,3.6,CA,1675632690
103,bobo dioulasso,11.1771,-4.2979,300.89,15,0,1.38,BF,1675632809
104,broome,42.2506,-75.833,279.65,54,0,4.63,US,1675632810
105,pasighat,28.0667,95.3333,287.95,47,0,1.62,IN,1675632811
106,bethel,41.3712,-73.414,280.62,50,100,0.45,US,1675632811
107,kahului,20.8947,-156.47,299.16,75,40,10.8,US,1675632805
108,gorazde,43.6669,18.9764,267.05,96,100,1.61,BA,1675632812
109,hamilton,39.1834,-84.5333,284.5,57,100,3.58,US,1675632693
110,khatanga,71.9667,102.5,236.63,99,72,2.81,RU,1675632521
